is_gold,cnt_root_lp,sum_root_lp,sum_leaf_lp,sum_bl_lp,cur_score,chunk_pool_match,L_trans,R_trans
0,-51.747030393310936,-57.149828464164116,-78.83539548462564,-61.0825820716621,-75.39764903869863,0,0,0
0,-51.51091375005629,-54.51275915599316,-46.56914472568191,-57.11093808749591,-65.48165716776086,0,0,0
1,-51.73133251897382,-54.76945780244137,-36.46734017117659,-38.16227810691408,-59.20579866752707,0,1,0
0,-51.51091375005629,-54.51275915599316,-46.56914472568191,-57.11093808749591,-65.48165716776086,0,0,0
1,-53.06657483523958,-53.06657483523958,-36.46048003908031,-41.46268312949253,-60.53898294416394,0,1,0
1,-44.49185679419544,-46.046759257202034,-37.1522233214785,-39.22404574021101,-41.774580179440086,1,3,1
0,-50.483431493667325,-51.36383541037576,-90.33922229218194,-54.7162398775376,-77.58519818132191,0,0,0
1,-49.633164135521746,-49.633164135521746,-36.4604800390803,-38.386952976970754,-57.10557224444611,0,0,1
0,-53.909477866417944,-56.92043147658022,-119.36130370130165,-50.63902658386802,-89.71786897680843,0,0,0
1,-51.48227124613687,-54.9766092531221,-38.425745928515745,-50.394818059369854,-42.21557960789323,3,3,3
0,-47.99501222161112,-52.54057760883427,-112.30992277219573,-78.66493861681232,-81.68798905326983,0,0,0
0,-52.91805403755911,-58.068133396540205,-62.001253337384696,-60.0705030459025,-71.51843003877451,0,0,0
0,-58.25931144088237,-64.11438561504407,-69.726934100741,-63.635360930427794,-79.17739167110467,0,0,0
0,-55.24140376829347,-61.143959642860736,-107.1619929816017,-51.92921396095865,-87.39000166277398,0,0,0
0,-54.56913848289643,-59.21714336108026,-58.80492862046433,-53.48661088168184,-68.744881166236,0,0,1
1,-51.07400706877152,-55.224610618450996,-51.894784764395446,-50.93824681803107,-66.64244249809016,0,0,0
0,-47.524631088152674,-50.16679093873351,-100.94032476213502,-57.5356070727802,-77.80672851679319,0,0,0
0,-62.31217466688622,-64.92610875716301,-128.57174409353777,-68.50291215998185,-100.88369789494755,0,0,0
1,-49.188085511956835,-52.513133017710885,-37.36109675644695,-53.000089013277396,-56.930678636091194,0,0,1
0,-52.91805403755911,-58.068133396540205,-62.001253337384696,-60.0705030459025,-71.51843003877451,0,0,0
0,-58.25931144088237,-64.11438561504407,-69.726934100741,-63.635360930427794,-79.17739167110467,0,0,0
0,-55.24140376829347,-61.143959642860736,-107.1619929816017,-51.92921396095865,-87.39000166277398,0,0,0
0,-54.56913848289643,-59.21714336108026,-58.80492862046433,-40.09970074777678,-68.744881166236,0,0,1
1,-51.07400706877152,-55.224610618450996,-51.894784764395446,-50.93824681803107,-66.64244249809016,0,0,0
0,-47.524631088152674,-50.16679093873351,-100.94032476213502,-57.5356070727802,-77.80672851679319,0,0,0
1,-46.83359041978369,-49.2782340088293,-36.66570530382928,-36.45701320152563,-54.36756610813274,0,1,0
0,-53.66347832589384,-57.08445580271392,-58.8283387979975,-57.81829849942154,-71.31197996529309,0,0,0
0,-58.25931144088237,-64.11438561504407,-69.726934100741,-63.635360930427794,-79.17739167110467,0,0,0
0,-55.24140376829347,-61.143959642860736,-107.1619929816017,-63.490286110383565,-87.39000166277398,0,0,0
0,-54.56913848289643,-59.21714336108026,-58.80492862046433,-53.48661088168184,-68.744881166236,0,0,1
1,-51.07400706877152,-55.224610618450996,-51.894784764395446,-50.93824681803107,-66.64244249809016,0,0,0
0,-47.524631088152674,-50.16679093873351,-100.94032476213502,-57.5356070727802,-77.80672851679319,0,0,0
1,-54.7413267054834,-57.28190026559504,-39.31491397717261,-35.918913091173536,-63.07006499583546,0,0,1
0,-58.25931144088237,-64.11438561504407,-69.726934100741,-63.635360930427794,-79.17739167110467,0,0,0
0,-55.24140376829347,-61.143959642860736,-107.1619929816017,-51.92921396095865,-87.39000166277398,0,0,0
0,-54.56913848289643,-59.21714336108026,-58.80492862046433,-53.48661088168184,-68.744881166236,0,0,1
1,-51.07400706877152,-55.224610618450996,-51.894784764395446,-37.19959647778079,-66.64244249809016,0,0,0
0,-47.524631088152674,-50.16679093873351,-100.94032476213502,-57.5356070727802,-77.80672851679319,0,0,0
1,-54.7413267054834,-57.28190026559504,-39.31491397717261,-35.918913091173536,-63.07006499583546,0,0,1
0,-58.25931144088237,-64.11438561504407,-69.726934100741,-63.635360930427794,-79.17739167110467,0,0,0
0,-55.24140376829347,-61.143959642860736,-107.1619929816017,-63.490286110383565,-87.39000166277398,0,0,0
1,-51.2569122808978,-54.90479463090308,-56.84652855829358,-53.77090124311483,-64.84513494558615,0,1,0
0,-48.72125978626825,-51.34399441047705,-101.33008240316938,-52.95678840393009,-79.12028450721905,0,0,0
1,-54.7413267054834,-57.28190026559504,-39.31491397717261,-35.918913091173536,-63.07006499583546,0,0,1
0,-58.25931144088237,-64.11438561504407,-69.726934100741,-63.635360930427794,-79.17739167110467,0,0,0
0,-56.79994545866193,-61.32709881312661,-76.15887165972941,-59.81256590660249,-76.18187105378104,0,1,0
1,-48.848535048013204,-50.968548472547816,-45.677682408718304,-57.590740110704274,-59.08610386782897,0,0,1
1,-54.7413267054834,-57.28190026559504,-39.31491397717261,-35.918913091173536,-63.07006499583546,0,0,1
0,-58.25931144088237,-64.11438561504407,-69.726934100741,-63.635360930427794,-79.17739167110467,0,0,0
1,-51.43055768966604,-54.42984211866005,-64.29692832584323,-43.968477175149665,-65.22657474407846,0,2,0
1,-54.7413267054834,-57.28190026559504,-39.31491397717261,-35.918913091173536,-63.07006499583546,0,0,1
0,-54.21650174509537,-57.18940701363386,-63.405466008879614,-56.249214764205156,-73.23814154775926,0,0,0
1,-54.60585126645896,-54.60585126645896,-47.053466629718784,-49.37435012044631,-68.7218912553746,0,0,0
1,-45.25024399037807,-47.64345671973112,-28.444104101531426,-40.59731005723254,-43.386267512438316,1,1,1
0,-50.57348256518684,-54.0321619283563,-43.57590484381735,-55.87506525269786,-63.646254018332044,0,0,0
0,-57.869846792282004,-63.10937188320129,-71.20951459366405,-64.40459191022282,-79.23270117038122,0,0,0
0,-53.804394661209194,-59.06607964940168,-102.90101909261253,-52.105529169151374,-84.67470038899296,0,0,0
1,-50.75126294406905,-54.29821245816094,-56.84652855829358,-52.16257212472842,-67.80522151155712,0,0,0
0,-46.393316444803745,-49.10830226859531,-92.6213466868625,-45.807961082336064,-74.17972045086249,0,0,0
1,-50.91133615982146,-53.53602706480883,-36.46734017117659,-34.12152074468363,-58.38580230837471,0,0,1
0,-57.869846792282004,-63.10937188320129,-71.20951459366405,-64.40459191022282,-79.23270117038122,0,0,0
