is_gold,cnt_root_lp,sum_root_lp,sum_leaf_lp,sum_bl_lp,cur_score,chunk_pool_match,L_trans,R_trans
0,-68.43136701408469,-71.74018169836347,-73.62926856635724,-93.7819016064275,-90.52014758399186,0,0,0
1,-50.386139633978914,-52.89345644297985,-28.138597505783338,-32.15445018341527,-38.11204525375625,2,2,6
1,-58.90849009125509,-60.8576761588179,-45.6707200377478,-41.426376529493915,-69.1439701997797,0,0,1
0,-68.43136701408469,-71.74018169836347,-73.62926856635724,-93.7819016064275,-90.52014758399186,0,0,0
1,-50.386139633978914,-52.89345644297985,-28.138597505783338,-32.15445018341527,-38.11204525375625,2,2,6
1,-58.90849009125509,-60.8576761588179,-45.6707200377478,-41.426376529493915,-69.1439701997797,0,0,1
0,-69.6412044218674,-71.66292865287022,-59.705532666071086,-72.46284024361904,-82.05980277834817,0,0,2
1,-51.766366721119226,-51.766366721119226,-36.456157041108426,-31.20575363473033,-59.23747793065203,0,0,1
1,-48.537619322163536,-49.86918345247392,-44.977622496798595,-35.17705557698765,-51.63369836280393,1,1,1
0,-70.09369891756812,-70.99613061502792,-62.70538109977279,-67.10734899661568,-85.43957734470023,0,0,1
1,-72.61221249940492,-72.61221249940492,-53.49384213526586,-57.01758765040691,-85.19462923718496,0,0,1
1,-48.14066534693,-50.384841682688986,-36.46207392885499,-34.784452197173295,-53.58622608224594,0,2,0
0,-55.2499193572593,-57.93466982409931,-66.19271680221088,-58.50250696566334,-75.10773439792257,0,0,0
0,-52.612034234352315,-55.83691815463801,-63.96532783667989,-79.68429440598905,-71.80163258535629,0,0,0
1,-50.536962360922985,-52.97196479107715,-27.247135188819733,-30.514356522546926,-34.5695342310574,4,4,4
1,-57.27199884779712,-59.12310256549186,-53.49494106417496,-42.30340630340791,-69.85474526424989,0,0,1
0,-52.612034234352315,-55.83691815463801,-63.96532783667989,-79.68429440598905,-71.80163258535629,0,0,0
1,-50.536962360922985,-52.97196479107715,-27.247135188819733,-30.514356522546926,-34.5695342310574,4,4,4
1,-57.27199884779712,-59.12310256549186,-53.49494106417496,-42.30340630340791,-69.85474526424989,0,0,1
0,-53.82187164213503,-55.81021309938631,-48.88573435659918,-58.36523304318061,-68.48759194911479,0,0,0
1,-51.692928299625216,-51.692928299625216,-27.24359919363496,-29.59268874197799,-44.88734668994575,1,1,4
1,-48.17943877453941,-49.511002904849796,-35.76718210456248,-52.93222700855947,-48.512385697508975,1,1,1
0,-88.27238571406758,-89.10603246321286,-90.33670227648115,-86.5325608985679,-111.90766049421221,0,0,1
1,-73.53241595106753,-73.53241595106753,-62.704282527501974,-57.93779110206954,-86.85063926597758,0,0,2
1,-48.00380633475522,-50.29702371336031,-35.76897674454408,-39.12385405603202,-48.33729164971926,1,1,1
0,-69.54166474059988,-72.32449755730796,-73.4470457054146,-70.65650142563146,-91.57577845222426,0,0,0
0,-52.612034234352315,-55.88746614487957,-63.96532783667989,-79.68429440598905,-71.80163258535629,0,0,0
1,-50.38613963397892,-52.821142064133085,-27.247135188819733,-32.0821358045685,-37.844606558667174,2,2,6
1,-57.27199884779712,-59.221184915359935,-53.49494106417496,-42.45709535271961,-69.85474526424989,0,0,1
0,-52.612034234352315,-55.88746614487957,-63.96532783667989,-79.68429440598905,-71.80163258535629,0,0,0
1,-50.38613963397892,-52.821142064133085,-27.247135188819733,-32.0821358045685,-37.844606558667174,2,2,6
1,-57.27199884779712,-59.221184915359935,-53.49494106417496,-42.45709535271961,-69.85474526424989,0,0,1
0,-53.82187164213503,-55.81021309938631,-48.88573435659918,-58.36523304318061,-62.994530505774236,0,0,2
1,-51.766366721119226,-51.766366721119226,-36.456157041108426,-31.20575363473033,-59.23747793065203,0,0,1
1,-48.66729695836216,-50.87798901127384,-44.97941713678019,-44.68215909347206,-58.69538619659649,0,1,0
0,-65.86351729896785,-68.62474559722355,-98.45111220749556,-66.68778596094631,-95.39885096121651,0,0,0
0,-78.49894824864951,-81.80072057290658,-73.62926856635724,-93.25282308294726,-100.58772881855668,0,0,0
1,-50.94242701858121,-53.34667794926494,-28.22344606101049,-30.714933876070994,-35.26789215037286,4,4,4
1,-57.75717686131755,-59.615973462113445,-54.18916003818468,-42.097006254370115,-70.54818896997322,0,0,1
0,-78.49894824864951,-81.80072057290658,-73.62926856635724,-93.25282308294726,-100.58772881855668,0,0,0
1,-50.94242701858121,-53.34667794926494,-28.22344606101049,-30.714933876070994,-35.26789215037286,4,4,4
1,-57.75717686131755,-59.615973462113445,-54.18916003818468,-42.097006254370115,-70.54818896997322,0,0,1
0,-79.70878565643223,-81.73050988743505,-59.705532666071086,-71.9337617201388,-97.62044545625355,0,0,0
1,-51.692928299625216,-51.692928299625216,-27.24359919363496,-29.59268874197799,-49.468800349316524,0,1,3
1,-48.391021270841215,-49.68525469253634,-36.4594556272566,-39.385708790286714,-46.90432471007819,1,2,1
0,-71.8081992032184,-72.64184595236367,-71.9158214920089,-72.4513792402114,-89.91720974802134,0,0,1
1,-73.08095976505582,-73.08095976505582,-72.60784510123614,-58.64130401833325,-91.39757739262694,0,0,1
1,-48.34936316049685,-50.66322148940325,-44.97941713678019,-48.80938432830393,-51.44598059313173,1,1,1
0,-81.41817468394888,-84.2303853907653,-103.43992681329166,-83.0004424023268,-108.98441682513665,0,0,1
0,-78.49894824864953,-81.8409433106293,-74.78512614615182,-93.37047969850296,-100.93448609249508,0,0,0
1,-50.68724437541191,-53.24647078522391,-30.504328061263536,-30.80627628665206,-30.649890557961267,6,6,6
1,-57.747128329978636,-59.65690733933527,-44.977622853436884,-40.20922914354556,-67.77467928320998,0,1,0
0,-78.49894824864953,-81.8409433106293,-74.78512614615182,-93.37047969850296,-100.93448609249508,0,0,0
1,-50.68724437541191,-53.24647078522391,-30.504328061263536,-30.80627628665206,-30.649890557961267,6,6,6
1,-57.747128329978636,-59.65690733933527,-44.977622853436884,-40.20922914354556,-67.77467928320998,0,1,0
0,-79.70878565643224,-81.81743315034403,-59.705532666071086,-72.05141833569449,-97.62044545625356,0,0,0
1,-51.76636672111922,-51.76636672111922,-36.45615704110843,-31.20575363473033,-62.70321383345175,0,0,0
