is_gold,cnt_root_lp,sum_root_lp,sum_leaf_lp,sum_bl_lp,cur_score,chunk_pool_match,L_trans,R_trans
0,-68.88074881869473,-74.49731194341871,-108.05386245310123,-85.33283131551971,-101.2969075546251,0,0,0
0,-52.31504572098873,-58.32360769477558,-83.27268637552037,-62.94003143667597,-77.29685163364483,0,0,0
0,-44.79659301078356,-49.563955841934245,-55.784364784501136,-42.42590920080098,-61.5319024461339,0,0,0
1,-50.65449622301307,-53.2680011556905,-83.41309321513795,-56.43296452218923,-75.67842418755446,0,0,0
1,-74.47983039255092,-77.37540181749667,-46.57123372217995,-51.42603508341703,-84.98546460640519,0,0,1
0,-68.88074881869473,-74.49731194341871,-108.05386245310123,-85.33283131551971,-101.2969075546251,0,0,0
0,-52.31504572098873,-58.32360769477558,-83.27268637552037,-62.86933065153541,-77.29685163364483,0,0,0
1,-45.89045624600275,-49.09087766261368,-46.5713316461935,-48.132206855807794,-56.39611983706107,0,1,0
1,-74.47983039255092,-77.37540181749667,-46.57123372217995,-51.42603508341703,-84.98546460640519,0,0,1
0,-68.88074881869473,-74.49731194341871,-108.05386245310123,-85.33283131551971,-101.2969075546251,0,0,0
1,-51.97374021360469,-55.05652443400614,-57.73788352746203,-46.64709633181238,-69.2951052718433,0,0,0
1,-74.47983039255092,-77.37540181749667,-46.57123372217995,-51.42603508341703,-84.98546460640519,0,0,1
0,-70.63836574943628,-73.33960742704653,-91.729499997279,-71.15280201654406,-98.15721574861998,0,0,0
1,-65.60241853651686,-65.60241853651686,-73.30344092267256,-57.77011399264426,-84.12771491051892,0,1,0
1,-50.47731382249436,-53.2110733227183,-46.57123372217994,-48.49527862059459,-64.44868393914834,0,0,0
0,-66.74793570867533,-70.8193872250897,-56.538130230454634,-61.142625546802265,-83.70937477781172,0,0,0
0,-63.568006070674784,-69.22330020762921,-87.67687017959659,-70.9537328483248,-89.87106712455376,0,0,0
0,-56.87914222561149,-62.41580364177925,-68.01815138190116,-58.28063876218935,-73.81885173738212,0,1,0
1,-51.96636853988913,-56.024771197886466,-37.3634840000289,-48.04178433856696,-59.70967783709807,0,0,1
0,-51.54834156280218,-54.41950830321377,-85.36920470417036,-52.216576056416216,-73.69336707125356,0,1,0
1,-71.11782919766763,-73.96756017587442,-46.57123372217995,-49.211404295344565,-85.08919931432162,0,0,0
0,-63.568006070674784,-69.22330020762921,-87.67687017959659,-70.9537328483248,-89.87106712455376,0,0,0
0,-56.87914222561149,-62.41580364177925,-68.01815138190116,-58.042393957400776,-73.81885173738212,0,1,0
1,-51.96636853988913,-56.024771197886466,-37.3634840000289,-48.04178433856696,-59.70967783709807,0,0,1
0,-51.54834156280218,-54.41950830321377,-85.36920470417036,-52.216576056416216,-73.69336707125356,0,1,0
1,-71.11782919766763,-73.96756017587442,-46.57123372217995,-49.211404295344565,-85.08919931432162,0,0,0
0,-63.568006070674784,-69.22330020762921,-87.67687017959659,-70.9537328483248,-89.87106712455376,0,0,0
0,-49.581904549483994,-54.04233755866906,-66.95091666576967,-49.94213681747199,-69.6671795492149,0,0,0
1,-51.26354480618789,-53.773189849685075,-36.46942893699378,-53.94206221658686,-62.20437348728602,0,0,0
1,-71.11782919766763,-73.96756017587442,-46.57123372217995,-49.211404295344565,-85.08919931432162,0,0,0
0,-63.568006070674784,-69.22330020762921,-87.67687017959659,-70.9537328483248,-89.87106712455376,0,0,0
1,-52.195328591623095,-55.107003986308015,-37.36089125395738,-46.29481332224893,-53.006388259411125,1,1,1
1,-71.11782919766763,-73.96756017587442,-46.57123372217995,-49.211404295344565,-85.08919931432162,0,0,0
0,-64.12831255849149,-66.84324621699972,-64.09817882057067,-59.096716805704666,-79.89203030186296,0,0,1
1,-60.014852829963786,-60.014852829963786,-45.672119745964224,-39.79143277011322,-73.71648875375305,0,0,0
0,-58.33979284259499,-61.58474946725762,-91.52489005691325,-55.608648856617805,-82.33152395686925,0,1,0
1,-51.690691042214475,-55.9094827702786,-46.57382646825146,-49.376003567267254,-62.19710307989019,0,0,1
0,-56.716633723356594,-62.09174483333818,-119.22041433436976,-69.22894106485339,-92.48275802366751,0,0,0
0,-74.39706082920472,-80.21480616874872,-82.38122405855678,-74.44506145347883,-99.11142804677175,0,0,0
